iter	Passed	Remaining
0	164	164821
1	166	83228
2	168	56025
3	170	42378
4	171	34181
5	173	28772
6	175	24933
7	178	22089
8	180	19833
9	182	18082
10	184	16567
11	185	15298
12	186	14169
13	187	13209
14	188	12366
15	189	11639
16	190	10990
17	191	10435
18	192	9946
19	193	9490
20	194	9077
21	195	8694
22	196	8347
23	197	8025
24	198	7726
25	198	7449
26	199	7193
27	200	6954
28	201	6739
29	202	6538
30	203	6347
31	203	6166
32	204	5995
33	205	5844
34	206	5706
35	208	5587
36	209	5454
37	210	5327
38	211	5205
39	212	5089
40	212	4977
41	213	4875
42	214	4779
43	215	4691
44	216	4603
45	217	4518
46	218	4436
47	219	4363
48	222	4313
49	223	4243
50	224	4171
51	224	4100
52	225	4032
53	226	3969
54	228	3918
55	229	3864
56	230	3805
57	230	3749
58	231	3693
59	232	3644
60	277	4279
61	279	4223
62	280	4175
63	281	4121
64	286	4125
65	288	4078
66	289	4025
67	289	3972
68	290	3923
69	291	3874
70	292	3826
71	293	3781
72	294	3736
73	295	3692
74	295	3649
75	296	3607
76	297	3564
77	298	3523
78	311	3628
79	311	3586
80	312	3545
81	313	3506
82	313	3464
83	314	3426
84	314	3390
85	315	3354
86	316	3320
87	317	3286
88	317	3254
89	318	3223
90	320	3197
91	320	3165
92	321	3134
93	322	3104
94	322	3074
95	323	3045
96	324	3019
97	325	2992
98	325	2965
99	326	2937
100	327	2911
101	327	2884
102	328	2859
103	328	2834
104	329	2809
105	330	2785
106	330	2761
107	331	2739
108	332	2716
109	333	2694
110	333	2673
111	334	2652
112	335	2630
113	335	2609
114	336	2589
115	337	2569
116	337	2547
117	338	2528
118	339	2511
119	340	2493
120	340	2475
121	341	2456
122	342	2438
123	342	2420
124	343	2403
125	343	2385
126	344	2368
127	345	2351
128	346	2337
129	346	2321
130	347	2306
131	348	2290
132	349	2275
133	349	2260
134	350	2245
135	351	2230
136	351	2216
137	352	2202
138	353	2188
139	354	2174
140	354	2162
141	355	2147
142	356	2134
143	356	2120
144	357	2107
145	358	2094
146	358	2081
147	359	2071
148	360	2059
149	361	2047
150	361	2034
151	362	2022
152	363	2011
153	363	1999
154	364	1987
155	365	1976
156	366	1965
157	366	1954
158	367	1943
159	368	1932
160	368	1920
161	369	1913
162	370	1903
163	371	1892
164	371	1882
165	372	1872
166	373	1863
167	374	1853
168	375	1844
169	375	1834
170	376	1825
171	377	1815
172	377	1806
173	378	1797
174	379	1789
175	380	1780
176	380	1771
177	381	1762
178	382	1754
179	383	1747
180	384	1741
181	386	1735
182	387	1730
183	388	1722
184	389	1714
185	390	1707
186	391	1700
187	392	1693
188	392	1685
189	393	1678
190	394	1670
191	395	1662
192	395	1654
193	396	1647
194	397	1639
195	397	1632
196	398	1624
197	399	1619
198	400	1612
199	401	1606
200	402	1600
201	403	1593
202	404	1586
203	404	1580
204	405	1573
205	406	1566
206	407	1559
207	407	1553
